client_id;ID;Tipo;Data da Venda;Categoria;vendedor_id;Regional;Duração do Contrato (Meses);Equipe;Valor
1;2017-0022;Serviços;02/01/2018;Novo Logo;1;Brasil;1;Time 1;24800.0
10;2018-0088;Serviços;14/02/2018;Novo Logo;1;Brasil;6;Time 1;302720.0
10;2018-0104;Serviços;13/03/2018;Upselling;1;Brasil;1;Time 1;51894.86
10;2018-0168;Serviços;30/04/2018;Upselling;1;Brasil;2;Time 1;51894.86
10;2018-0169;Serviços;30/04/2018;Upselling;1;Brasil;2;Time 1;51894.86
10;2018-0298;Serviços;12/06/2018;Upselling;1;Brasil;4;Time 1;138386.29
10;2018-0296;Serviços;20/06/2018;Upselling;1;Brasil;1;Time 1;51895.2
10;2018-0315;Serviços;10/07/2018;Upselling;1;Brasil;4;Time 1;145306.56
10;2018-0317;Serviços;13/07/2018;Upselling;1;Brasil;6;Time 1;395862.54
10;2018-0383;Serviços;20/07/2018;Upselling;1;Brasil;2;Time 1;69193.06
10;2018-0412;Serviços;22/08/2018;Upselling;1;Brasil;6;Time 1;415161.6
10;2018-0318;Serviços;22/08/2018;Upselling;1;Brasil;9;Time 1;622742.4
10;2018-0445;Serviços;31/08/2018;Upselling;1;Brasil;1;Time 1;34596.8
10;2018-0443;Serviços;31/08/2018;Upselling;1;Brasil;3;Time 1;77842.8
10;2018-0437;Serviços;19/09/2018;Upselling;1;Brasil;3;Time 1;114169.44
10;2018-0436;Serviços;19/09/2018;Upselling;1;Brasil;5;Time 1;380564.8
10;2018-0551;Serviços;13/11/2018;Upselling;1;Brasil;1;Time 1;75248.04
10;2018-0590;Serviços;27/11/2018;Upselling;1;Brasil;3;Time 1;108115.0
10;2018-0316;Serviços;13/12/2018;Upselling;1;Brasil;4;Time 1;145306.56
10;2018-0634;Serviços;17/12/2018;Upselling;1;Brasil;2;Time 1;176443.68
10;2018-0670;Serviços;20/12/2018;Upselling;1;Brasil;2;Time 1;36326.64
10;2019-0868;Serviços;13/02/2019;Upselling;1;Brasil;1;Time 1;36326.64
10;2019-0902;Serviços;15/02/2019;Upselling;1;Brasil;3;Time 1;98600.88
10;2019-1143;Serviços;05/06/2019;Upselling;1;Brasil;1;Time 1;520489.68
10;2019-1625;Serviços;30/09/2019;Upselling;1;Brasil;3;Time 1;459488.75
10;2019-1896;Serviços;06/12/2019;Upselling;1;Brasil;6;Time 1;456677.76
10;2019-1705;Serviços;30/12/2019;Upselling;1;Brasil;3;Time 1;349075.92
10;2020-2039;Serviços;16/01/2020;Renovação;1;Brasil;1;Time 1;115493.52
10;2020-2113;Serviços;18/02/2020;Upselling;14;Brasil;1;Time 3;121975.34
10;2020-2161;Serviços;17/03/2020;Upselling;14;Brasil;1;Time 3;115001.93
10;2020-2162;Serviços;30/03/2020;Upselling;14;Brasil;1;Time 3;154178.48
10;2020-2233;Serviços;01/04/2020;Upselling;14;Brasil;3;Time 3;230040.0
10;2020-2234;Serviços;08/04/2020;Upselling;14;Brasil;1;Time 3;141696.0
10;2020-2175;Serviços;09/04/2020;Upselling;14;Brasil;3;Time 3;110592.0
10;2020-2341;Serviços;19/05/2020;Upselling;14;Brasil;3;Time 3;228338.88
10;2020-2398;Serviços;09/06/2020;Upselling;14;Brasil;2;Time 3;141846.88
10;2020-2401;Serviços;09/06/2020;Upselling;14;Brasil;4;Time 3;283693.76
10;2020-2399;Serviços;19/06/2020;Upselling;14;Brasil;5;Time 3;193742.08
10;2020-2337;Serviços;30/06/2020;Upselling;14;Brasil;3;Time 3;16433.48
10;2020-2471;Serviços;07/07/2020;Upselling;14;Brasil;5;Time 3;354617.2
10;2020-2605;Serviços;24/08/2020;Renovação;14;Brasil;4;Time 3;328320.0
10;2020-2583;Serviços;28/09/2020;Upselling;14;Brasil;1;Time 3;39996.6
10;2020-2594;Produtos;19/10/2020;Upselling;1;Brasil;36;Time 1;356400.0
10;2021-3488;Serviços;10/02/2021;Upselling;9;Brasil;11;Time 3;3487357.44
100;2020-2206;Produtos;15/05/2020;Novo Logo;13;Brasil;37;Time 3;2891561.0
101;2020-2319;Serviços;26/05/2020;Novo Logo;3;Brasil;12;Time 1;174050.0
101;2019-1169;Licenciamento;26/05/2020;Novo Logo;3;Brasil;12;Time 1;837527.0
102;2020-2693;Produtos;04/06/2020;Novo Logo;19;Brasil;3;Time 3;688500.0
103;2020-2394;Produtos;07/07/2020;Novo Logo;19;Brasil;36;Time 3;224000.0
104;2020-3105;Produtos;01/08/2020;Renovação;17;Brasil;13;Time 8;78698.51
105;2020-2530;Serviços;03/08/2020;Novo Logo;1;Brasil;2;Time 1;53104.0
106;2020-2567;Produtos;17/08/2020;Novo Logo;16;Brasil;18;Time 3;1649610.36
107;2020-2390;Produtos;17/08/2020;Novo Logo;19;Brasil;61;Time 3;483800.0
108;2020-3129;Produtos;18/08/2020;Novo Logo;13;Brasil;35;Time 3;1517436.72
108;2020-2418;Produtos;18/08/2020;Novo Logo;7;Brasil;35;Time 5;3034873.44
109;2020-2537;Serviços;28/08/2020;Novo Logo;13;Brasil;2;Time 3;49279.44
109;2021-3277;Produtos;08/01/2021;Cross selling;13;Brasil;12;Time 3;139200.0
109;2020-2962;Serviços;08/01/2021;Cross selling;13;Brasil;12;Time 3;459605.28
109;2021-3624;Serviços;17/03/2021;Upselling;13;Brasil;3;Time 3;35967.0
109;2021-3577;Serviços;22/03/2021;Cross selling;13;Brasil;12;Time 3;1229003.3
11;2018-0046;Serviços;27/02/2018;Novo Logo;3;Brasil;1;Time 1;8990.0
110;2020-2644;Licenciamento;31/08/2020;Novo Logo;12;Colombia;12;Time 10;241650.0
111;2020-2639;Produtos;31/08/2020;Novo Logo;19;Brasil;61;Time 3;626220.0
111;2020-2580;Produtos;31/08/2020;Novo Logo;19;Brasil;53;Time 3;3016440.0
112;2020-3080;Produtos;21/09/2020;Novo Logo;17;Brasil;21;Time 8;91200.0
113;2020-2480;Licenciamento;21/09/2020;Novo Logo;1;Brasil;36;Time 1;1055110.36
114;2020-2412;Serviços;24/09/2020;Novo Logo;18;Brasil;4;Time 1;100000.0
115;2020-2507;Produtos;24/09/2020;Novo Logo;18;Brasil;3;Time 1;195056.92
116;2020-2723;Licenciamento;25/09/2020;Novo Logo;8;Mexico;12;Time 9;1369162.05
116;2020-3155;Licenciamento;21/12/2020;Upselling;8;Mexico;3;Time 9;134025.16
116;2021-3680;Licenciamento;26/03/2021;Upselling;8;Mexico;3;Time 9;134025.16
117;2020-2634;Produtos;28/09/2020;Novo Logo;21;Brasil;36;Time 3;112440.0
118;2020-2872;Serviços;30/09/2020;Cross selling;3;Brasil;12;Time 1;253994.4
118;2020-2689;Produtos;30/09/2020;Novo Logo;3;Brasil;12;Time 1;3398870.55
119;2020-2127;Licenciamento;30/09/2020;Novo Logo;8;Mexico;37;Time 9;2450331.0
12;2018-0107;Serviços;01/03/2018;Upselling;1;Brasil;12;Time 1;200000.0
12;2018-0228;Produtos;25/07/2018;Renovação;1;Brasil;12;Time 1;180000.0
12;2018-0127;Produtos;25/07/2018;Cross selling;1;Brasil;12;Time 1;213832.92
12;2019-0889;Serviços;21/02/2019;Upselling;1;Brasil;12;Time 1;210140.0
12;2019-0849;Produtos;05/06/2019;Renovação;1;Brasil;6;Time 1;90000.0
12;2019-1314;Produtos;18/06/2019;Renovação;1;Brasil;6;Time 1;53458.23
12;2020-2071;Licenciamento;27/12/2019;Upselling;1;Brasil;1;Time 1;126221.01
12;2019-1778;Produtos;17/01/2020;Cross selling;14;Brasil;12;Time 3;298680.0
12;2018-0358;Licenciamento;29/09/2020;Renovação;14;Brasil;12;Time 3;535800.0
12;2021-3708;Serviços;25/02/2021;Cross selling;20;Brasil;12;Time 3;111300.0
12;2020-2994;Produtos;25/02/2021;Cross selling;20;Brasil;12;Time 3;187380.0
120;2020-3124;Produtos;01/10/2020;Upselling;17;Brasil;24;Time 8;1250.0
121;2020-2539;Serviços;01/10/2020;Novo Logo;3;Brasil;2;Time 1;29592.0
122;2020-2572;Serviços;01/10/2020;Novo Logo;3;Brasil;1;Time 1;7182.0
123;2020-2917;Serviços;19/10/2020;Novo Logo;1;Brasil;4;Time 1;332471.3
123;2021-3576;Serviços;11/03/2021;Upselling;13;Brasil;11;Time 3;1219061.58
124;2020-2898;Serviços;19/10/2020;Novo Logo;1;Brasil;12;Time 1;317832.37
124;2021-3541;Serviços;03/03/2021;Upselling;9;Brasil;12;Time 3;342720.0
125;2020-2648;Licenciamento;29/10/2020;Novo Logo;12;Colombia;12;Time 10;327570.0
126;2020-2980;Produtos;30/10/2020;Novo Logo;7;Brasil;12;Time 5;1750373.68
126;2020-3001;Produtos;14/12/2020;Novo Logo;3;Brasil;12;Time 1;268231.5
127;2020-2921;Serviços;09/11/2020;Novo Logo;20;Brasil;3;Time 3;29964.48
128;2020-2658;Produtos;09/11/2020;Novo Logo;3;Brasil;12;Time 1;130649.63
129;2020-2637;Produtos;16/11/2020;Novo Logo;7;Brasil;60;Time 5;1740000.0
13;2017-0023;Serviços;12/03/2018;Cross selling;1;Brasil;2;Time 1;67830.0
13;2018-0302;Licenciamento;23/07/2018;Upselling;1;Brasil;17;Time 1;168959.59
13;2018-0301;Licenciamento;23/07/2018;Upselling;1;Brasil;37;Time 1;1351967.23
13;2019-0861;Licenciamento;31/01/2019;Upselling;1;Brasil;30;Time 1;440551.24
13;2019-0881;Serviços;11/03/2019;Upselling;1;Brasil;7;Time 1;201696.0
13;2019-0910;Licenciamento;18/03/2019;Upselling;1;Brasil;28;Time 1;3649217.87
13;2019-0891;Serviços;05/04/2019;Cross selling;1;Brasil;7;Time 1;192001.92
13;2019-1277;Serviços;03/06/2019;Cross selling;1;Brasil;1;Time 1;143000.0
13;2019-1308;Serviços;03/06/2019;Upselling;1;Brasil;1;Time 1;237912.87
13;2019-1203;Serviços;04/06/2019;Upselling;1;Brasil;3;Time 1;133932.48
13;2019-1262;Serviços;07/06/2019;Upselling;1;Brasil;3;Time 1;101999.04
13;2019-1289;Licenciamento;19/06/2019;Upselling;1;Brasil;26;Time 1;547685.15
13;2019-1357;Serviços;01/08/2019;Cross selling;1;Brasil;1;Time 1;55366.07
13;2019-1568;Licenciamento;05/09/2019;Upselling;1;Brasil;23;Time 1;308542.94
13;2019-1582;Serviços;16/09/2019;Upselling;1;Brasil;4;Time 1;300000.0
13;2019-1632;Serviços;26/09/2019;Cross selling;1;Brasil;1;Time 1;105926.56
13;2019-1676;Serviços;15/10/2019;Upselling;1;Brasil;1;Time 1;384833.7
13;2020-1973;Licenciamento;31/01/2020;Renovação;1;Brasil;18;Time 1;186761.31
